name;rect
Colegio Master School De Lampa;POLYGON((-7890401.81 -3933019.15,-7890401.81 -3932925.76,-7890277.92 -3932925.76,-7890277.92 -3933019.15,-7890401.81 -3933019.15))
Plazoleta el Prado;POLYGON((-7890164.92 -3975266.95,-7890164.92 -3975140.75,-7890065.91 -3975140.75,-7890065.91 -3975266.95,-7890164.92 -3975266.95))
Brigada de Investigación Criminal Peñaflor;POLYGON((-7890149.15 -3976701.84,-7890149.15 -3976667.93,-7890092.89 -3976667.93,-7890092.89 -3976701.84,-7890149.15 -3976701.84))
Nina Discotheque;POLYGON((-7890139.22 -3955272.07,-7890139.22 -3955139.3,-7890017.19 -3955139.3,-7890017.19 -3955272.07,-7890139.22 -3955272.07))
Nina Discotheque;POLYGON((-7890135.01 -3955163.6,-7890135.01 -3955099.56,-7890031.21 -3955099.56,-7890031.21 -3955163.6,-7890135.01 -3955163.6))
Colegio Emprender;POLYGON((-7890133.48 -3934590.41,-7890133.48 -3934435.16,-7890025.02 -3934435.16,-7890025.02 -3934590.41,-7890133.48 -3934590.41))
Escuela Basica Paicavi De Lampa;POLYGON((-7890074.03 -3933753.54,-7890074.03 -3933689.05,-7890021.47 -3933689.05,-7890021.47 -3933753.54,-7890074.03 -3933753.54))
Colegio Polivalente Jerusalen De Lampa;POLYGON((-7890044.38 -3932864.2,-7890044.38 -3932726.25,-7889914.2 -3932726.25,-7889914.2 -3932864.2,-7890044.38 -3932864.2))
Multicancha;POLYGON((-7890014.3 -3976068.27,-7890014.3 -3976035.63,-7889975.91 -3976035.63,-7889975.91 -3976068.27,-7890014.3 -3976068.27))
Escuela Basica Academia Malloco;POLYGON((-7889982.34 -3976847.18,-7889982.34 -3976764.77,-7889887.39 -3976764.77,-7889887.39 -3976847.18,-7889982.34 -3976847.18))
Colegio Inmaculada Concepción Nuestra Señora D;POLYGON((-7889968.61 -3975387.73,-7889968.61 -3975092.74,-7889745.27 -3975092.74,-7889745.27 -3975387.73,-7889968.61 -3975387.73))
Escuela Basica Manuel Segovia Montenegro;POLYGON((-7889736.9 -3933381.4,-7889736.9 -3933254.92,-7889569.09 -3933254.92,-7889569.09 -3933381.4,-7889736.9 -3933381.4))
Estadio Municipal de Peñaflor (Bilbao);POLYGON((-7889719.2 -3976110.6,-7889719.2 -3975848.37,-7889292.88 -3975848.37,-7889292.88 -3976110.6,-7889719.2 -3976110.6))
Escuela Basica San Jose De Lampa;POLYGON((-7889663.7 -3933690.42,-7889663.7 -3933451.55,-7889400.96 -3933451.55,-7889400.96 -3933690.42,-7889663.7 -3933690.42))
Cancha Estadio Municipal Peñaflor;POLYGON((-7889657.69 -3976013.56,-7889657.69 -3975920.33,-7889539.04 -3975920.33,-7889539.04 -3976013.56,-7889657.69 -3976013.56))
Centro de Eventos Munich;POLYGON((-7889638.92 -3978690.83,-7889638.92 -3978165.44,-7888980.85 -3978165.44,-7888980.85 -3978690.83,-7889638.92 -3978690.83))
Plaza de Armas de Lampa;POLYGON((-7889614.62 -3933467.84,-7889614.62 -3933305.35,-7889446.52 -3933305.35,-7889446.52 -3933467.84,-7889614.62 -3933467.84))
Escuela Basica Siglo Xxi De Lampa;POLYGON((-7889567.48 -3932786.53,-7889567.48 -3932670.68,-7889437.3 -3932670.68,-7889437.3 -3932786.53,-7889567.48 -3932786.53))
Cancha Estadio Municipal Peñaflor;POLYGON((-7889552.3 -3976103.62,-7889552.3 -3975983.34,-7889412.85 -3975983.34,-7889412.85 -3976103.62,-7889552.3 -3976103.62))
Escuela Básica y Especial Educar;POLYGON((-7889549.97 -3976620.21,-7889549.97 -3976534.23,-7889452.63 -3976534.23,-7889452.63 -3976620.21,-7889549.97 -3976620.21))
Complejo Educacional Manuel Plaza Reyes;POLYGON((-7889494.55 -3933563.53,-7889494.55 -3933384.97,-7889278.75 -3933384.97,-7889278.75 -3933563.53,-7889494.55 -3933563.53))
Cancha Estadio Municipal Peñaflor;POLYGON((-7889481.16 -3976007.67,-7889481.16 -3975854.79,-7889339.17 -3975854.79,-7889339.17 -3976007.67,-7889481.16 -3976007.67))
Consultorio Monckeberg;POLYGON((-7889450.84 -3976595.14,-7889450.84 -3976527.65,-7889343.35 -3976527.65,-7889343.35 -3976595.14,-7889450.84 -3976595.14))
