name;rect
Cementerio Parque Jardín San Joaquín;POLYGON((-7867504.31 -3974575.67,-7867504.31 -3974215.28,-7867165.53 -3974215.28,-7867165.53 -3974575.67,-7867504.31 -3974575.67))
Plaza Davila;POLYGON((-7867503.36 -3962332.06,-7867503.36 -3962290.57,-7867467.37 -3962290.57,-7867467.37 -3962332.06,-7867503.36 -3962332.06))
Plaza Juana de Ibarbourou;POLYGON((-7867498.08 -3959424.45,-7867498.08 -3959356,-7867446.22 -3959356,-7867446.22 -3959424.45,-7867498.08 -3959424.45))
Carabineros de Chile;POLYGON((-7867481.77 -3959320.04,-7867481.77 -3959260.94,-7867414.49 -3959260.94,-7867414.49 -3959320.04,-7867481.77 -3959320.04))
63 º Tenencia Carlos Valdovinos;POLYGON((-7867479.77 -3959318.29,-7867479.77 -3959261.68,-7867415.81 -3959261.68,-7867415.81 -3959318.29,-7867479.77 -3959318.29))
NAVE;POLYGON((-7867461.74 -3953975.3,-7867461.74 -3953933.69,-7867424.6 -3953933.69,-7867424.6 -3953975.3,-7867461.74 -3953975.3))
Bomberos (Bomba República de Austria);POLYGON((-7867460.25 -3962380.09,-7867460.25 -3962338.27,-7867423.22 -3962338.27,-7867423.22 -3962380.09,-7867460.25 -3962380.09))
Escuela Básica Montahue;POLYGON((-7867459.19 -3942016.16,-7867459.19 -3941897.64,-7867409.02 -3941897.64,-7867409.02 -3942016.16,-7867459.19 -3942016.16))
Plaza Yungay;POLYGON((-7867440.84 -3953581.7,-7867440.84 -3953453.66,-7867345.29 -3953453.66,-7867345.29 -3953581.7,-7867440.84 -3953581.7))
Comunidad Tiempo Joven;POLYGON((-7867427.94 -3976828.12,-7867427.94 -3976649.25,-7867240.84 -3976649.25,-7867240.84 -3976828.12,-7867427.94 -3976828.12))
Plaza Victor Díaz López;POLYGON((-7867425.11 -3959546.67,-7867425.11 -3959493.52,-7867328.37 -3959493.52,-7867328.37 -3959546.67,-7867425.11 -3959546.67))
Plaza Arturo Prat Chacón;POLYGON((-7867425.23 -3951329.62,-7867425.23 -3951283.07,-7867374.8 -3951283.07,-7867374.8 -3951329.62,-7867425.23 -3951329.62))
Parque Central Alameda Bernardo O´Higgins;POLYGON((-7867421.34 -3955142.51,-7867421.34 -3955072.96,-7867274.32 -3955072.96,-7867274.32 -3955142.51,-7867421.34 -3955142.51))
estación fantasma;POLYGON((-7867416.07 -3953856.99,-7867416.07 -3953815.45,-7867373.28 -3953815.45,-7867373.28 -3953856.99,-7867416.07 -3953856.99))
Multicancha;POLYGON((-7867414.66 -3967470.8,-7867414.66 -3967432.56,-7867381.34 -3967432.56,-7867381.34 -3967470.8,-7867414.66 -3967470.8))
Estadio Municipal de La Cisterna;POLYGON((-7867400.44 -3964763.48,-7867400.44 -3964487.58,-7867184.26 -3964487.58,-7867184.26 -3964763.48,-7867400.44 -3964763.48))
Pista Atlética Estadio La Cisterna;POLYGON((-7867400.44 -3964763.48,-7867400.44 -3964487.58,-7867184.26 -3964487.58,-7867184.26 -3964763.48,-7867400.44 -3964763.48))
Santa Ana I;POLYGON((-7867392.02 -3973082.21,-7867392.02 -3972969.72,-7867234.06 -3972969.72,-7867234.06 -3973082.21,-7867392.02 -3973082.21))
Estadio Corvi;POLYGON((-7867350.95 -3959696.44,-7867350.95 -3959368.7,-7867024.84 -3959368.7,-7867024.84 -3959696.44,-7867350.95 -3959696.44))
Parque Pierre Dubois - (3ª etapa Parque André Jarlán) (en construcción);POLYGON((-7867349.53 -3960487.81,-7867349.53 -3959962.95,-7866821.3 -3959962.95,-7866821.3 -3960487.81,-7867349.53 -3960487.81))
Universidad Arcis;POLYGON((-7867346.27 -3954701.91,-7867346.27 -3954624.28,-7867201.29 -3954624.28,-7867201.29 -3954701.91,-7867346.27 -3954701.91))
Plaza Bucalemu;POLYGON((-7867340.94 -3959028.06,-7867340.94 -3959001.95,-7867316.31 -3959001.95,-7867316.31 -3959028.06,-7867340.94 -3959028.06))
La oferta;POLYGON((-7867333.49 -3971477.3,-7867333.49 -3971412.98,-7867248.62 -3971412.98,-7867248.62 -3971477.3,-7867333.49 -3971477.3))
Escuela Básica Antonio Acevedo Hernández;POLYGON((-7867324.49 -3960688.8,-7867324.49 -3960590.33,-7867253.38 -3960590.33,-7867253.38 -3960688.8,-7867324.49 -3960688.8))
Cancha Estadio La Cisterna;POLYGON((-7867324 -3964683.45,-7867324 -3964560.45,-7867246.36 -3964560.45,-7867246.36 -3964683.45,-7867324 -3964683.45))
2-C;POLYGON((-7867321.8 -3951607.97,-7867321.8 -3951502.08,-7867194.37 -3951502.08,-7867194.37 -3951607.97,-7867321.8 -3951607.97))
Taller Mecánico, Universidad de Chile;POLYGON((-7867301.99 -3956286.37,-7867301.99 -3956172.75,-7867215.43 -3956172.75,-7867215.43 -3956286.37,-7867301.99 -3956286.37))
La Sierra de Chicureo;POLYGON((-7867294.93 -3936597.65,-7867294.93 -3936163.72,-7866774.8 -3936163.72,-7866774.8 -3936597.65,-7867294.93 -3936597.65))
Privado;POLYGON((-7867294.41 -3962090.44,-7867294.41 -3962062.63,-7867268.59 -3962062.63,-7867268.59 -3962090.44,-7867294.41 -3962090.44))
Edificio Corporativo Consalud;POLYGON((-7867289.3 -3943493.19,-7867289.3 -3943322.4,-7867025.35 -3943322.4,-7867025.35 -3943493.19,-7867289.3 -3943493.19))
Estadio Municipal de Pedro Aguirre Cerda;POLYGON((-7867272.48 -3961176.92,-7867272.48 -3960835.35,-7866942.94 -3960835.35,-7866942.94 -3961176.92,-7867272.48 -3961176.92))
Shell;POLYGON((-7867269.86 -3961561.76,-7867269.86 -3961506.04,-7867240.25 -3961506.04,-7867240.25 -3961561.76,-7867269.86 -3961561.76))
Parque Central Alameda Bernardo O´Higgins;POLYGON((-7867267.64 -3955082.22,-7867267.64 -3954979.64,-7866992.71 -3954979.64,-7866992.71 -3955082.22,-7867267.64 -3955082.22))
Plaza Numancia;POLYGON((-7867266.99 -3959193.41,-7867266.99 -3959147.58,-7867222.06 -3959147.58,-7867222.06 -3959193.41,-7867266.99 -3959193.41))
Plaza Jorge Montt;POLYGON((-7867257.61 -3958629.58,-7867257.61 -3958509.72,-7867126.94 -3958509.72,-7867126.94 -3958629.58,-7867257.61 -3958629.58))
Estadio Municipal de Pedro Aguirre Cerda;POLYGON((-7867256.15 -3961095.68,-7867256.15 -3960954.75,-7867135.52 -3960954.75,-7867135.52 -3961095.68,-7867256.15 -3961095.68))
Santa Ana II;POLYGON((-7867248.61 -3973123.38,-7867248.61 -3972996.68,-7867082.23 -3972996.68,-7867082.23 -3973123.38,-7867248.61 -3973123.38))
Persa Bulnes;POLYGON((-7867244.63 -3952446.98,-7867244.63 -3952280.97,-7867164.01 -3952280.97,-7867164.01 -3952446.98,-7867244.63 -3952446.98))
Fundación Villa Padre Hurtado;POLYGON((-7867236.91 -3962083.34,-7867236.91 -3961920.91,-7867121.66 -3961920.91,-7867121.66 -3962083.34,-7867236.91 -3962083.34))
Estadio Enersis;POLYGON((-7867234.28 -3952013.9,-7867234.28 -3951560.52,-7866771.8 -3951560.52,-7866771.8 -3952013.9,-7867234.28 -3952013.9))
Centro Civico Juan Antonio Rios;POLYGON((-7867214.2 -3951193,-7867214.2 -3950717.66,-7866744.55 -3950717.66,-7866744.55 -3951193,-7867214.2 -3951193))
Estadio Miguel Leon Prado;POLYGON((-7867197.48 -3961882.18,-7867197.48 -3961633.22,-7866882.68 -3961633.22,-7866882.68 -3961882.18,-7867197.48 -3961882.18))
Centro de Reparto Chilexpress;POLYGON((-7867195.9 -3947955.43,-7867195.9 -3947939.84,-7867178.98 -3947939.84,-7867178.98 -3947955.43,-7867195.9 -3947955.43))
Estadio Corvi;POLYGON((-7867193.14 -3959667.37,-7867193.14 -3959529.13,-7867075.83 -3959529.13,-7867075.83 -3959667.37,-7867193.14 -3959667.37))
Piscina Municipal de Pedro Aguirre Cerda;POLYGON((-7867189.92 -3960924.17,-7867189.92 -3960774.13,-7867020.14 -3960774.13,-7867020.14 -3960924.17,-7867189.92 -3960924.17))
Cancha Estadio La Cisterna;POLYGON((-7867183.07 -3964835.14,-7867183.07 -3964696.59,-7867076.77 -3964696.59,-7867076.77 -3964835.14,-7867183.07 -3964835.14))
Club Hípico de Santiago;POLYGON((-7867178.96 -3957913.67,-7867178.96 -3956172.11,-7866394.99 -3956172.11,-7866394.99 -3957913.67,-7867178.96 -3957913.67))
Escuela Basica Nueva Zelandia;POLYGON((-7867170.05 -3951502.63,-7867170.05 -3951371.55,-7867062.56 -3951371.55,-7867062.56 -3951502.63,-7867170.05 -3951502.63))
Parque André Jarlán;POLYGON((-7867165.12 -3960166.63,-7867165.12 -3959592.74,-7866676.49 -3959592.74,-7866676.49 -3960166.63,-7867165.12 -3960166.63))
Estadio Miguel Leon Prado;POLYGON((-7867163.98 -3961782.32,-7867163.98 -3961671.24,-7867073.21 -3961671.24,-7867073.21 -3961782.32,-7867163.98 -3961782.32))
Autogasco;POLYGON((-7867159.91 -3954713.28,-7867159.91 -3954603.78,-7867069.92 -3954603.78,-7867069.92 -3954713.28,-7867159.91 -3954713.28))
Estadio Municipal de Pedro Aguirre Cerda;POLYGON((-7867138.51 -3961139.57,-7867138.51 -3960952.05,-7866999.97 -3960952.05,-7866999.97 -3961139.57,-7867138.51 -3961139.57))
Plaza Palestro Rojas;POLYGON((-7867137.67 -3962103.12,-7867137.67 -3962056.76,-7867106.55 -3962056.76,-7867106.55 -3962103.12,-7867137.67 -3962103.12))
Edificio Centro Orbe 2;POLYGON((-7867133.04 -3954816.08,-7867133.04 -3954672.17,-7867024.97 -3954672.17,-7867024.97 -3954816.08,-7867133.04 -3954816.08))
Parroquia Cristo Crucificado;POLYGON((-7867132.92 -3951028.84,-7867132.92 -3950979.44,-7867098.12 -3950979.44,-7867098.12 -3951028.84,-7867132.92 -3951028.84))
Persa Parque de Los Reyes;POLYGON((-7867129.44 -3952295.91,-7867129.44 -3952214,-7867034.57 -3952214,-7867034.57 -3952295.91,-7867129.44 -3952295.91))
Plaza Las Amapolas;POLYGON((-7867125.8 -3963254.4,-7867125.8 -3963203.84,-7867079.88 -3963203.84,-7867079.88 -3963254.4,-7867125.8 -3963254.4))
Plaza Palestro Rojas;POLYGON((-7867121.36 -3962109.16,-7867121.36 -3962069.89,-7867091.36 -3962069.89,-7867091.36 -3962109.16,-7867121.36 -3962109.16))
Unimarc;POLYGON((-7867118.96 -3941994.97,-7867118.96 -3941898.29,-7867051.26 -3941898.29,-7867051.26 -3941994.97,-7867118.96 -3941994.97))
Parque Centenario;POLYGON((-7867114.51 -3958710.07,-7867114.51 -3958620.96,-7866385.25 -3958620.96,-7866385.25 -3958710.07,-7867114.51 -3958710.07))
Plaza Las Amapolas;POLYGON((-7867100.89 -3963204.14,-7867100.89 -3963159.7,-7867062.15 -3963159.7,-7867062.15 -3963204.14,-7867100.89 -3963204.14))
Estadio Miguel Leon Prado;POLYGON((-7867100.16 -3961807.05,-7867100.16 -3961718.67,-7867028.5 -3961718.67,-7867028.5 -3961807.05,-7867100.16 -3961807.05))
Plaza Manuel Valencia;POLYGON((-7867098.1 -3961453.47,-7867098.1 -3961263.72,-7866963.92 -3961263.72,-7866963.92 -3961453.47,-7867098.1 -3961453.47))
Centro Educativo Municipal Ochagavía;POLYGON((-7867096.05 -3962874.7,-7867096.05 -3962473.42,-7866818.89 -3962473.42,-7866818.89 -3962874.7,-7867096.05 -3962874.7))
Hipódromo Chile;POLYGON((-7867085.99 -3949447.06,-7867085.99 -3948704.66,-7866039.75 -3948704.66,-7866039.75 -3949447.06,-7867085.99 -3949447.06))
Plaza Santa Mercedes;POLYGON((-7867082.28 -3973950.95,-7867082.28 -3973821.37,-7866968.75 -3973821.37,-7866968.75 -3973950.95,-7867082.28 -3973950.95))
Plaza Conchalí;POLYGON((-7867077.06 -3948310.09,-7867077.06 -3948126.16,-7866937.56 -3948126.16,-7866937.56 -3948310.09,-7867077.06 -3948310.09))
Centro Deportivo Azul;POLYGON((-7867072.45 -3964907.95,-7867072.45 -3964492.32,-7866571.67 -3964492.32,-7866571.67 -3964907.95,-7867072.45 -3964907.95))
Privado;POLYGON((-7867071.59 -3961463.74,-7867071.59 -3961359.5,-7867005.46 -3961359.5,-7867005.46 -3961463.74,-7867071.59 -3961463.74))
"Jardín Infantil ""Arco Iris""";POLYGON((-7867069.97 -3966248.51,-7867069.97 -3966225.22,-7867053.58 -3966225.22,-7867053.58 -3966248.51,-7867069.97 -3966248.51))
Estadio Municipal Juan Antonio Rios;POLYGON((-7867066.55 -3951028.65,-7867066.55 -3950724.84,-7866836.22 -3950724.84,-7866836.22 -3951028.65,-7867066.55 -3951028.65))
San Miguel;POLYGON((-7867057.98 -3964363.7,-7867057.98 -3958709.44,-7863237.2 -3958709.44,-7863237.2 -3964363.7,-7867057.98 -3964363.7))
Edificio El Conquistador;POLYGON((-7867056.99 -3954583.39,-7867056.99 -3954547.58,-7866998.39 -3954547.58,-7866998.39 -3954583.39,-7867056.99 -3954583.39))
Plaza Poblacion Juan Pablo II;POLYGON((-7867039.13 -3972833.74,-7867039.13 -3972683.25,-7866931.07 -3972683.25,-7866931.07 -3972833.74,-7867039.13 -3972833.74))
Plaza Tristan Matta;POLYGON((-7867031.1 -3961491.12,-7867031.1 -3961361.85,-7866942.32 -3961361.85,-7866942.32 -3961491.12,-7867031.1 -3961491.12))
Unimarc;POLYGON((-7867024.89 -3951138.23,-7867024.89 -3951074.16,-7866967.91 -3951074.16,-7866967.91 -3951138.23,-7867024.89 -3951138.23))
Anfiteatro La Cisterna;POLYGON((-7867022.29 -3964635.08,-7867022.29 -3964534.49,-7866920.72 -3964534.49,-7866920.72 -3964635.08,-7867022.29 -3964635.08))
Multicancha;POLYGON((-7867021.63 -3975375.84,-7867021.63 -3975331.6,-7866990.28 -3975331.6,-7866990.28 -3975375.84,-7867021.63 -3975375.84))
"Jardín Infantil ""The Forest Baby""";POLYGON((-7867013.81 -3969178.2,-7867013.81 -3969153.92,-7866993.28 -3969153.92,-7866993.28 -3969178.2,-7867013.81 -3969178.2))
La Pintana;POLYGON((-7867012.05 -3978932.49,-7867012.05 -3969196.16,-7859744.22 -3969196.16,-7859744.22 -3978932.49,-7867012.05 -3978932.49))
Estadio Miguel Leon Prado;POLYGON((-7866999.17 -3961855.45,-7866999.17 -3961779.01,-7866933.48 -3961779.01,-7866933.48 -3961855.45,-7866999.17 -3961855.45))
Canchas Cordesan;POLYGON((-7866995.2 -3958709.37,-7866995.2 -3958658.71,-7866810.1 -3958658.71,-7866810.1 -3958709.37,-7866995.2 -3958709.37))
Cosam Pedro Aguirre Cerda;POLYGON((-7866994.17 -3961018.98,-7866994.17 -3960877.72,-7866907.57 -3960877.72,-7866907.57 -3961018.98,-7866994.17 -3961018.98))
Strip Center;POLYGON((-7866991.65 -3944061.29,-7866991.65 -3943970.68,-7866936.51 -3943970.68,-7866936.51 -3944061.29,-7866991.65 -3944061.29))
construcción de pista de patinaje;POLYGON((-7866989.66 -3951100.68,-7866989.66 -3951030.69,-7866918.94 -3951030.69,-7866918.94 -3951100.68,-7866989.66 -3951100.68))
Casa del Maestro;POLYGON((-7866984.19 -3953756.25,-7866984.19 -3953707.2,-7866950.41 -3953707.2,-7866950.41 -3953756.25,-7866984.19 -3953756.25))
Parque Central Alameda Bernardo O´Higgins;POLYGON((-7866977.3 -3954997.74,-7866977.3 -3954880.88,-7866672.33 -3954880.88,-7866672.33 -3954997.74,-7866977.3 -3954997.74))
Plaza Arauco;POLYGON((-7866971.65 -3957769.81,-7866971.65 -3957647.99,-7866874.31 -3957647.99,-7866874.31 -3957769.81,-7866971.65 -3957769.81))
Privado;POLYGON((-7866970.45 -3961353.32,-7866970.45 -3961291.72,-7866926.39 -3961291.72,-7866926.39 -3961353.32,-7866970.45 -3961353.32))
Servicio de Registro Civil e Identificación;POLYGON((-7866970.13 -3960982.68,-7866970.13 -3960949.16,-7866946.27 -3960949.16,-7866946.27 -3960982.68,-7866970.13 -3960982.68))
Privado;POLYGON((-7866946.22 -3961267.66,-7866946.22 -3961155.59,-7866874.58 -3961155.59,-7866874.58 -3961267.66,-7866946.22 -3961267.66))
22 compañia de bomberos;POLYGON((-7866944.25 -3951156.66,-7866944.25 -3951095.8,-7866889.41 -3951095.8,-7866889.41 -3951156.66,-7866944.25 -3951156.66))
Outdoor Gym;POLYGON((-7866942.78 -3971229.54,-7866942.78 -3971212.23,-7866930.84 -3971212.23,-7866930.84 -3971229.54,-7866942.78 -3971229.54))
Santuario Marianista;POLYGON((-7866927.04 -3961939.73,-7866927.04 -3961778.26,-7866757.97 -3961778.26,-7866757.97 -3961939.73,-7866927.04 -3961939.73))
Parroquia San Antonio de Padua;POLYGON((-7866915.78 -3953743.41,-7866915.78 -3953632.67,-7866846.37 -3953632.67,-7866846.37 -3953743.41,-7866915.78 -3953743.41))
Ministorage;POLYGON((-7866911.68 -3941183.44,-7866911.68 -3940981.6,-7866829.75 -3940981.6,-7866829.75 -3941183.44,-7866911.68 -3941183.44))
Plaza Caupolicán;POLYGON((-7866899.5 -3961274.78,-7866899.5 -3961165.7,-7866824.76 -3961165.7,-7866824.76 -3961274.78,-7866899.5 -3961274.78))
Centro de Salud Familiar/SAPU: Edgardo Enríquez Froedden;POLYGON((-7866898.75 -3959216.34,-7866898.75 -3959169.65,-7866873.14 -3959169.65,-7866873.14 -3959216.34,-7866898.75 -3959216.34))
Administración Liceo;POLYGON((-7866896.14 -3951011.71,-7866896.14 -3950991.83,-7866873.4 -3950991.83,-7866873.4 -3951011.71,-7866896.14 -3951011.71))
Synapsis;POLYGON((-7866894.96 -3951993.41,-7866894.96 -3951914.06,-7866789.76 -3951914.06,-7866789.76 -3951993.41,-7866894.96 -3951993.41))
Edificio de Tribunales;POLYGON((-7866894.27 -3955896.17,-7866894.27 -3955869.77,-7866853.22 -3955869.77,-7866853.22 -3955896.17,-7866894.27 -3955896.17))
Estación de Bomberos;POLYGON((-7866893.02 -3951098.42,-7866893.02 -3951065.41,-7866859.24 -3951065.41,-7866859.24 -3951098.42,-7866893.02 -3951098.42))
Colegio Eliodoro Matte;POLYGON((-7866890.53 -3974963.92,-7866890.53 -3974717.2,-7866632.94 -3974717.2,-7866632.94 -3974963.92,-7866890.53 -3974963.92))
Cancha de Futbolito;POLYGON((-7866890.89 -3950987.53,-7866890.89 -3950943.39,-7866851.45 -3950943.39,-7866851.45 -3950987.53,-7866890.89 -3950987.53))
Centro de Salud Familiar/SAPU: Edgardo Enríquez Froedden;POLYGON((-7866888.44 -3959238.6,-7866888.44 -3959174.23,-7866818.78 -3959174.23,-7866818.78 -3959238.6,-7866888.44 -3959238.6))
Pabellón D;POLYGON((-7866884.2 -3951065.18,-7866884.2 -3951030.37,-7866834.02 -3951030.37,-7866834.02 -3951065.18,-7866884.2 -3951065.18))
Plaza Los Maitenes;POLYGON((-7866881.12 -3962252.63,-7866881.12 -3962196.13,-7866846.78 -3962196.13,-7866846.78 -3962252.63,-7866881.12 -3962252.63))
IP Chile;POLYGON((-7866877.42 -3955618.81,-7866877.42 -3955524.12,-7866795.46 -3955524.12,-7866795.46 -3955618.81,-7866877.42 -3955618.81))
Pabellón C;POLYGON((-7866870.68 -3951038.41,-7866870.68 -3951005.61,-7866822.34 -3951005.61,-7866822.34 -3951038.41,-7866870.68 -3951038.41))
Fonda Permanente La Popular;POLYGON((-7866866.2 -3954207.05,-7866866.2 -3954152.21,-7866841.24 -3954152.21,-7866841.24 -3954207.05,-7866866.2 -3954207.05))
Skatepark Parque de los Reyes;POLYGON((-7866864.29 -3952361.65,-7866864.29 -3952309.7,-7866790.72 -3952309.7,-7866790.72 -3952361.65,-7866864.29 -3952361.65))
Gimnasio;POLYGON((-7866864.49 -3950937.69,-7866864.49 -3950884.29,-7866821.91 -3950884.29,-7866821.91 -3950937.69,-7866864.49 -3950937.69))
Canchas Tennis Chamisero;POLYGON((-7866862.67 -3935879.85,-7866862.67 -3935750.27,-7866750.47 -3935750.27,-7866750.47 -3935879.85,-7866862.67 -3935879.85))
Santa Maria De Los Angeles;POLYGON((-7866860.64 -3967885.06,-7866860.64 -3967775.13,-7866716.05 -3967775.13,-7866716.05 -3967885.06,-7866860.64 -3967885.06))
Centro Educativo Salesianos Alameda;POLYGON((-7866860.87 -3954898.76,-7866860.87 -3954707.05,-7866688.3 -3954707.05,-7866688.3 -3954898.76,-7866860.87 -3954898.76))
Pabellón B;POLYGON((-7866857.61 -3951013.1,-7866857.61 -3950977.72,-7866807.31 -3950977.72,-7866807.31 -3951013.1,-7866857.61 -3951013.1))
Portal Ochagavia;POLYGON((-7866851.33 -3962159.62,-7866851.33 -3961838.04,-7866602.07 -3961838.04,-7866602.07 -3962159.62,-7866851.33 -3962159.62))
Pabellón A;POLYGON((-7866844.36 -3950986.37,-7866844.36 -3950951.47,-7866791.65 -3950951.47,-7866791.65 -3950986.37,-7866844.36 -3950986.37))
Privado;POLYGON((-7866836.13 -3961121.73,-7866836.13 -3961014.93,-7866766.79 -3961014.93,-7866766.79 -3961121.73,-7866836.13 -3961121.73))
Plaza Brasilia;POLYGON((-7866835.42 -3959339.78,-7866835.42 -3959231.25,-7866768.08 -3959231.25,-7866768.08 -3959339.78,-7866835.42 -3959339.78))
Patio interior;POLYGON((-7866828.5 -3950947.06,-7866828.5 -3950904.88,-7866780.07 -3950904.88,-7866780.07 -3950947.06,-7866828.5 -3950947.06))
CESFAM Juan Antonio Ríos;POLYGON((-7866828.21 -3950864.06,-7866828.21 -3950801.26,-7866763.36 -3950801.26,-7866763.36 -3950864.06,-7866828.21 -3950864.06))
Instituto Superior de Comercio 2 Joaquin Vera Morales;POLYGON((-7866809.85 -3955964.35,-7866809.85 -3955865.98,-7866675.29 -3955865.98,-7866675.29 -3955964.35,-7866809.85 -3955964.35))
EFFETA;POLYGON((-7866804.37 -3950904.42,-7866804.37 -3950864.13,-7866769.28 -3950864.13,-7866769.28 -3950904.42,-7866804.37 -3950904.42))
Colegio Excelsior;POLYGON((-7866799.88 -3955613,-7866799.88 -3955514.63,-7866758.45 -3955514.63,-7866758.45 -3955613,-7866799.88 -3955613))
Plaza San Lucas;POLYGON((-7866793.29 -3961019.8,-7866793.29 -3960951.72,-7866716.26 -3960951.72,-7866716.26 -3961019.8,-7866793.29 -3961019.8))
Cancha Plaza Brasilia;POLYGON((-7866793.01 -3959239.02,-7866793.01 -3959191.09,-7866756.43 -3959191.09,-7866756.43 -3959239.02,-7866793.01 -3959239.02))
Iglesia de la Gratitud Nacional;POLYGON((-7866785.93 -3954885.62,-7866785.93 -3954830.09,-7866687.71 -3954830.09,-7866687.71 -3954885.62,-7866785.93 -3954885.62))
Núcleo Ochagavía;POLYGON((-7866780.48 -3960944.98,-7866780.48 -3960626.81,-7866557.86 -3960626.81,-7866557.86 -3960944.98,-7866780.48 -3960944.98))
IPChile;POLYGON((-7866774.23 -3955494.57,-7866774.23 -3955449.86,-7866695.85 -3955449.86,-7866695.85 -3955494.57,-7866774.23 -3955494.57))
2da Comisaría de Santiago;POLYGON((-7866765.14 -3955798.6,-7866765.14 -3955706.53,-7866721.71 -3955706.53,-7866721.71 -3955798.6,-7866765.14 -3955798.6))
Paseo Peatonal República;POLYGON((-7866760.09 -3955923.23,-7866760.09 -3954943.65,-7866578.97 -3954943.65,-7866578.97 -3955923.23,-7866760.09 -3955923.23))
Plaza Yarur;POLYGON((-7866757.38 -3958368.31,-7866757.38 -3958315.01,-7866654.86 -3958315.01,-7866654.86 -3958368.31,-7866757.38 -3958368.31))
Subestacion Ochagavia;POLYGON((-7866753.85 -3959140.05,-7866753.85 -3959024.83,-7866588.43 -3959024.83,-7866588.43 -3959140.05,-7866753.85 -3959140.05))
Plazuela Solari;POLYGON((-7866741.85 -3949427.55,-7866741.85 -3949350.15,-7866677.35 -3949350.15,-7866677.35 -3949427.55,-7866741.85 -3949427.55))
Universidad de Los Lagos;POLYGON((-7866735.74 -3955880.75,-7866735.74 -3955799.57,-7866628.99 -3955799.57,-7866628.99 -3955880.75,-7866735.74 -3955880.75))
Colegio Dunalastair;POLYGON((-7866728.1 -3936173.77,-7866728.1 -3935869.68,-7866404.85 -3935869.68,-7866404.85 -3936173.77,-7866728.1 -3936173.77))
Canchas Fútbol Chamisero;POLYGON((-7866726.38 -3935848.24,-7866726.38 -3935686.41,-7866621.28 -3935686.41,-7866621.28 -3935848.24,-7866726.38 -3935848.24))
Universidad Andrés Bello (Facultad de Economía y Negocios);POLYGON((-7866719.8 -3955636.87,-7866719.8 -3955601.42,-7866673.46 -3955601.42,-7866673.46 -3955636.87,-7866719.8 -3955636.87))
Portal Ochagavia;POLYGON((-7866715.5 -3962037.05,-7866715.5 -3961901.27,-7866625.62 -3961901.27,-7866625.62 -3962037.05,-7866715.5 -3962037.05))
Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas);POLYGON((-7866712.32 -3956091.09,-7866712.32 -3956026.36,-7866662.56 -3956026.36,-7866662.56 -3956091.09,-7866712.32 -3956091.09))
Plaza Arturo Prat;POLYGON((-7866710.2 -3961025.18,-7866710.2 -3960981.58,-7866653.41 -3960981.58,-7866653.41 -3961025.18,-7866710.2 -3961025.18))
Red de Televisión Chilevisión (Ex Fábrica Machasa);POLYGON((-7866704.08 -3958620.28,-7866704.08 -3958356.27,-7866382.98 -3958356.27,-7866382.98 -3958620.28,-7866704.08 -3958620.28))
Museo de la Solidaridad Salvador Allende;POLYGON((-7866702.16 -3955754.43,-7866702.16 -3955725.47,-7866662 -3955725.47,-7866662 -3955754.43,-7866702.16 -3955754.43))
Colegio Dunalastair;POLYGON((-7866702.12 -3936164.53,-7866702.12 -3936009.73,-7866592.12 -3936009.73,-7866592.12 -3936164.53,-7866702.12 -3936164.53))
Canchas El Acacio;POLYGON((-7866691 -3971472.26,-7866691 -3971390.18,-7866571.86 -3971390.18,-7866571.86 -3971472.26,-7866691 -3971472.26))
FAAD Universidad Diego Portales;POLYGON((-7866686.2 -3955293.38,-7866686.2 -3955241.23,-7866644.74 -3955241.23,-7866644.74 -3955293.38,-7866686.2 -3955293.38))
Canchas El Acacio;POLYGON((-7866677.67 -3971410.14,-7866677.67 -3971330.27,-7866559.22 -3971330.27,-7866559.22 -3971410.14,-7866677.67 -3971410.14))
"Jardín Infantil ""Alondra""";POLYGON((-7866662.78 -3948076.54,-7866662.78 -3948050.6,-7866629.44 -3948050.6,-7866629.44 -3948076.54,-7866662.78 -3948076.54))
Parque Central Alameda Bernardo O´Higgins;POLYGON((-7866657.63 -3954888.7,-7866657.63 -3954778.87,-7866368.29 -3954778.87,-7866368.29 -3954888.7,-7866657.63 -3954888.7))
IPChile;POLYGON((-7866656.54 -3955467.24,-7866656.54 -3955435.25,-7866627.78 -3955435.25,-7866627.78 -3955467.24,-7866656.54 -3955467.24))
Plaza Lazo;POLYGON((-7866653.03 -3961429.79,-7866653.03 -3961386.19,-7866588.24 -3961386.19,-7866588.24 -3961429.79,-7866653.03 -3961429.79))
Plaza Libertador General Bernardo O'Higgins;POLYGON((-7866650.68 -3961129.92,-7866650.68 -3961011.09,-7866600.06 -3961011.09,-7866600.06 -3961129.92,-7866650.68 -3961129.92))
Universidad de Chile (Facultad de Ciencias Físicas y Matemáticas);POLYGON((-7866645.94 -3956157.85,-7866645.94 -3956096.99,-7866587 -3956096.99,-7866587 -3956157.85,-7866645.94 -3956157.85))
Departamento de Ingeniería Industrial;POLYGON((-7866644.77 -3956157.54,-7866644.77 -3956098.65,-7866587.11 -3956098.65,-7866587.11 -3956157.54,-7866644.77 -3956157.54))
